Autorita (základná);Datovanie (interval);Datovanie (popis);Dátum zasadania komisie;Integrita (názov celku);Integrita (počet diel);Integrita (poradové číslo);Inventárne číslo;Katalogizované;Komisia;Kurátor;Materiál;Miery;Nadobudnuté;Názov (preferovaný);Názov (všetky);Organizácia;PID;Poznámka;Prírastkové číslo;Spôsob nadobudnutia;Stav Diela;Stav záznamu;Stupeň pôvodnosti;Stupeň pôvodnosti (ident. stavu);Stupeň pôvodnosti (počet stavov);Stupeň spracovania;Technika;Typ zbierky;Vlastník;Výtvarný druh;Zapisané do evidencie;Značenie;Žáner
"Francia, Francesco - dielňa autora";"1530 - 1540(realizácia)";"16. storočie, 1. polovica, 1530-1540(realizácia)";"21.4.1958";;;;"O 1451";"1.1.1982";"31. NK";"Ludiková, Zuzana";"drevo";"obraz: výška 61.0 cm, šírka 46.0 cm; rám: výška 102.0 cm, šírka 65.0 cm";"21.4.1958";"Madona s dieťaťom a svätým Františkom z Assisi";"Madona s dieťaťom a svätým Františkom z Assisi | Madona s dieťaťom a svätým Františkom z Assisi (Názov určený majiteľom); Svätá rodina; Holy Family (Madonna with Child and Saint Francis of Assisi) (Preklad názvu)";"SNG";"SVK:SNG.O_1451";"POZN.: rešt. Alžbeta Darolová, 1960 (RP 16)

Dielňa Francesca Raiboliniho (Franciu)
Bologna okolo 1450 – Bologna 1517
Dielňa činná v 1. polovici 16. storočia

LIT:
Buran, Dušan. Talianska maľba = Italian Painting. Bratislava : Slovenská národná galéria, 2013, 82-83.";"1397";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"tempera";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, maľba tabuľová";;"zadná strana: I.O.F.";"náboženský motív"
"Mednyánszky, Ladislav";"1910 - 1920";"20. storočie, 1. polovica, 1910 po";"17.9.1958";;;;"O 1460";"1.1.1982";"33. NK";"Beňová, Katarína";"drevo";"výška 30.4 cm; šírka 22.4 cm";"17.9.1958";"Štúdia hlavy muža v čiapke s fajkou";"Štúdia hlavy muža v čiapke s fajkou | Study of a Man in a Hat with a Pipe (Preklad názvu)";"SNG";"SVK:SNG.O_1460";"POZN: ";"1415";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"portrét"
"Katona, Ferdinand";"1910 - 1930";"20. storočie, 1. polovica, 1910-1930";"17.9.1958";;;;"O 1468";"1.1.1982";"33. NK";"Beňová, Katarína";"lepenka";"výška 36.6 cm; šírka 52.6 cm";"17.9.1958";"Včasná jar v Tatrách";"Včasná jar v Tatrách | Early Spring in the Tatras (Preklad názvu)";"SNG";"SVK:SNG.O_1468";"POZN: ";"1428";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: Katona Nándor";"krajina"
"Mednyánszky, Ladislav";"1890";"";"17.9.1958";;;;"O 1469";"1.1.1982";"33. NK";"Beňová, Katarína";"plátno";"výška 54.0 cm; šírka 77.2 cm";"17.9.1958";"Vysoké Tatry pred búrkou";"Vysoké Tatry pred búrkou | Tatry pred búrkou (Predchádzajúci názov); The Tatras before a Storm  (Preklad názvu)";"SNG";"SVK:SNG.O_1469";"POZN: 

LIT:
Ladislav Mednyánszky. 1852-1919. Bratislava : Slovak National Gallery and Slovart, 2004, 475.";"1438";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"krajina"
"Věšín, Jaroslav";"1896";"19. storočie, koniec, 1896";"17.9.1958";;;;"O 1470";"1.1.1982";"33. NK";"Beňová, Katarína";"plátno";"výška 46.2 cm; šírka 62.5 cm";"17.9.1958";"Zaľúbení";"Zaľúbení | In Love (Preklad názvu)";"SNG";"SVK:SNG.O_1470";"POZN: ";"1439";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vľavo dole: Věšín-Mnchv-1896";"krajina"
"Angyal, Vojtech";"1880 - 1900";"19. storočie, koniec, 1880-1900";"17.9.1958";;;;"O 1480";"1.1.1983";"33. NK";"Beňová, Katarína";"lepenka";"výška 59.7 cm; šírka 49.5 cm";"17.9.1958";"Zo starej Kremnice";"Zo starej Kremnice | Old Kremnica (Preklad názvu)";"SNG";"SVK:SNG.O_1480";"POZN: publikuje Vaculík, K.: Staré slovenské umenie, Bratislava 1978, č.k.280";"1454";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vľavo dole: Angyal B";"dedinský motív"
"Bohúň, Peter Michal";"1838";"19. storočie, 1. polovica, 1838 ?";;;;;"O 1482";"1.1.1989";"33. NK";"Beňová, Katarína";"plátno";"výška 61.5 cm; šírka 47.7 cm";;"Podobizeň Terézie Droppovej rod. Klenkayovej";"Podobizeň Terézie Droppovej rod. Klenkayovej | Portrait of Terézia Droppová (née Klenkayová) (Preklad názvu)";"SNG";"SVK:SNG.O_1482";"POZN: ";"1457";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"";"portrét"
"Majsch, Eduard";"1890 - 1910";"19.-20. storočie, prelom, 1900 okolo";"17.9.1958";;;;"O 1486";"1.1.1982";"33. NK";"Beňová, Katarína";"lepenka";"výška 71.8 cm; šírka 50.5 cm";"17.9.1958";"Mlyn";"Mlyn | Mill (Preklad názvu)";"SNG";"SVK:SNG.O_1486";"POZN: 

Reštaurované: M.Ďuricová, 2000

Lit.: Kat. Okolie Bratislavy, MG Bratislava, 1963, kat. č. 14; Saučin 1971, s. 34; Saučin 1974, s. 25; SBS 1990, s. 36; Kat. Majschovci, GMB 2001, kat. č. 5.69, s. 84";"1464";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"krajina s figurálnou štafážou"
"Schrött, Erazmus";"1780 - 1800";"18. storočie, 2. polovica, 1770-1800";"17.9.1958";;;;"O 1492";"1.1.1982";"33. NK";"Chmelinová, Katarína";"plátno";"výška 189.0 cm; šírka 39.2 cm";"17.9.1958";"Zvestovanie pastierom";"Zvestovanie pastierom | Klaňanie pastierov- rešt. protokol (Preklad názvu); Annunciation to the Shepherds (Preklad názvu)";"SNG";"SVK:SNG.O_1492";"POZN: cena za 2 diela -O 1492 a O 1493, ";"1473";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"figurálna kompozícia"
"Schrött, Erazmus";"1780 - 1800";"18. storočie, 2. polovica, 1770-1800";"17.9.1958";;;;"O 1493";"1.1.1982";"33. NK";"Chmelinová, Katarína";"plátno";"výška 189.0 cm; šírka 39.2 cm";"17.9.1958";"Obrezanie Ježiška v chráme";"Obrezanie Ježiška v chráme | Obriezka (Predchádzajúci názov); Sacrifice in the Temple (Circumcision) (Preklad názvu); Obetovanie v chráme (Predchádzajúci názov)";"SNG";"SVK:SNG.O_1493";"POZN: cena za 2 diela -O 1492,O 1493, ";"1473";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"figurálna kompozícia"
"Bohúň, Peter Michal";"1838 - 1858";"19. storočie, polovica, 1848 okolo";"17.9.1958";;;;"O 1494";"1.1.1982";"33. NK";"Beňová, Katarína";"plátno";"výška 85.3 cm; šírka 64.4 cm";"17.9.1958";"Podobizeň pani Plechovej";"Podobizeň pani Plechovej | Portrait of Mrs. Plechová (Preklad názvu)";"SNG";"SVK:SNG.O_1494";"POZN: ";"1475";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"neznačené";"portrét"
"Kracker, Johann Lucas";"1762";"18. storočie, 2. polovica, 1760-1770";;"štúdie k obrazu hlavného oltára v Jasove";;;"O 1498";"1.1.1982";;"Chmelinová, Katarína";"plátno";"výška 87.5 cm; šírka 53.5 cm";"3.10.1957";"Krst Krista";"Krst Krista | Baptism of Christ  (Preklad názvu); Krst Krista v Jordáne (Predchádzajúci názov)";"SNG";"SVK:SNG.O_1498";"POZN: Skica k obrazu hlavného oltára kláštorného kostola premonštrátov v Jasove

LIT: 
111 diel zo zbierok. Slovenská národná galéria. Bratislava : SNG, Vyd. Slovart, 2008. 277 s. ISBN 9788080856014(viaz.), 120-121.";"1488";"dar";"";"Dielo katalogizované";"originál";;;"skica";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz oltárny";;"neznačené";""
"Stredoeurópsky maliar z konca 18. storočia";"1770 - 1780";"18. storočie, 2. polovica, 1770-1780";;;;;"O 1499/a";"1.1.1983";;"Chmelinová, Katarína";"plátno";"výška 60.5 cm; šírka 45.4 cm";"1.1.1955";"Svätá Anna";"Svätá Anna";"SNG";"SVK:SNG.O_1499-a";"POZN: obojstranne maľovaný obraz - typ procesiového obrazu";"1490";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"náboženský motív"
"Stredoeurópsky maliar z konca 18. storočia";"1770 - 1780";"18. storočie, 2. polovica, 1770-1780";;;;;"O 1499/b";"1.1.1983";;"Chmelinová, Katarína";"plátno";"výška 60.5 cm; šírka 45.4 cm";"10.10.1955";"Svätá Katarína";"Svätá Katarína";"SNG";"SVK:SNG.O_1499-b";"POZN: Názov:na rube. Obojstranne maľovaný obraz - typ procesiového obrazu";"1490";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"náboženský motív"
"Neznámy ikonopisec";"1880 - 1890";"19. storočie, 2. polovica, 1880-1890";;;;;"O 1511";"1.1.1983";;"Chmelinová, Katarína";"tabuľa, drevená";"výška 36.0 cm; šírka 31.0 cm";"1.1.1958";"Sv. Ján Krstiteľ";"Sv. Ján Krstiteľ | Saint Constantine the Great (Preklad názvu)";"SNG";"SVK:SNG.O_1511";"POZN: ";"1569";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, maľba tabuľová, ikona";;"neoznačené";""
"Ruský ikonopisec";"1760 - 1790";"18. storočie, 2. polovica, 1760-1790";;;;;"O 1512";"1.1.1983";;"Chmelinová, Katarína";"tabuľa, drevená";"výška 37.5 cm; šírka 31.6 cm";;"Madona s dieťaťom";"Madona s dieťaťom | Madonna and Child (Preklad názvu)";"SNG";"SVK:SNG.O_1512";"POZN: pôvodne súčasť ikonostasu";"1509";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"tempera; olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, maľba tabuľová, ikona";;"neznačené";""
"Vereščagin, Vasilij Vasiljevič";"1890 - 1910";"19.-20. storočie, prelom, 1900 okolo";;;;;"O 1517";"1.1.1983";;"Beňová, Katarína";"plátno";"výška 39.0 cm; šírka 28.0 cm";"1.1.1959";"Zimná krajinka";"Zimná krajinka | Winter Landscape (Preklad názvu)";"SNG";"SVK:SNG.O_1517";"POZN: ";"1510/c";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vľavo dole: (azbukou) Vereščagin";"krajina"
"Slovenský maliar dúbravských oltárikov";"1510 - 1520";"16. storočie, 1. polovica, 1510-1520";"25.2.1956";"ľavé krídlo oltára P.Márie z Liptovskej Dúbravy";;;"O 1518/a";"1.1.1978";"20. NK";"Buran, Dušan";"tabuľa, drevená";"výška 153.7 cm; šírka 59.0 cm";"25.2.1956";"Zvestovanie a Narodenie";"Zvestovanie a Narodenie";"SNG";"SVK:SNG.O_1518-a";"POZN: na rube oltárneho krídla Svätý Kozma - pozri kartu O 1518/b. Úhrnná cena,";"787";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"tempera";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"náboženský motív"
"Slovenský maliar dúbravských oltárikov";"1510 - 1520";"16. storočie, 1. polovica, 1510-1520";"25.2.1956";"oltárne krídlo";;;"O 1518/b";"1.1.1978";"20. NK";"Buran, Dušan";"tabuľa, drevená";"výška 153.7 cm; šírka 59.0 cm";"25.2.1956";"Svätý Kozma rub";"Svätý Kozma rub";"SNG";"SVK:SNG.O_1518-b";"POZN:  Na prednej strane oltárneho krídla Zvestovanie a narodenie - pozri kartu O 1518/a. Úhrnná cena, ";"787";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"tempera";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"náboženský motív"
"Slovenský maliar z 1. štvrtiny 16. storočia";"1500 - 1520";"16. storočie, 1. polovica, 1500-1520";"1.1.1956";"krídlový oltár P. Márie z Lipt. Dúbravy";;;"O 1518";"1.1.1982";"20. NK";"Buran, Dušan";"drevo";"výška 153.5 cm; šírka 58.5 cm";"1.1.1956";"Zvestovanie, Narodenie, Svätý Kozma-rub";"Zvestovanie, Narodenie, Svätý Kozma-rub | Annunciation, Birth, Saint Cosmas (Back) (Preklad názvu)";"SNG";"SVK:SNG.O_1518";"POZN: viď kartu O 1520, ";"787";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"tempera";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, maľba tabuľová";;"neznačené";"náboženský motív"
"Slovenský maliar dúbravských oltárikov";"1510 - 1520";"16. storočie, 1. polovica, 1510-1520";"25.2.1956";"pravé krídlo oltára P.Márie z Liptovskej Dúbravy";;;"O 1519/a";"1.1.1978";"20. NK";"Buran, Dušan";"tabuľa, drevená";"výška 153.7 cm; šírka 58.5 cm";"25.2.1956";"Navštívenie a Klaňanie troch kráľov";"Navštívenie a Klaňanie troch kráľov";"SNG";"SVK:SNG.O_1519-a";"POZN: Na rube oltárneho krídla Svätý Damián - pozri kartu O 1519/b. Úhrnná cena, ";"787";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"tempera";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"náboženský motív"
"Slovenský maliar dúbravských oltárikov";"1510 - 1520";"16. storočie, 1. polovica, 1510-1520";"25.2.1956";"pravé krídlo oltára P.Márie z Liptovskej Dúbravy";;;"O 1519/b";"1.1.1978";"20. NK";"Buran, Dušan";"tabuľa, drevená";"výška 153.7 cm; šírka 58.5 cm";"25.2.1956";"Svätý Damián - rub";"Svätý Damián - rub";"SNG";"SVK:SNG.O_1519-b";"POZN: pozri kartu O 1519/a - na prednej strane oltárneho krídla Navštívenie a Klaňanie Troch kráľov. Úhrnná cena, ";"787";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"tempera";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"náboženský motív"
"Slovenský maliar z 1. štvrtiny 16. storočia";"1500 - 1520";"16. storočie, 1. polovica, 1500-1520";"1.1.1956";"Obojstranne maľované pravé krídlo oltára Panny Márie z Liptovskej Dúbravy ";;;"O 1519";;"20. NK";"Buran, Dušan";"drevo";"výška 153.5 cm; šírka 58.5 cm";"1.1.1956";"Navštívenie, Klaňanie Troch kráľov. Svätý Damián - rub";"Navštívenie, Klaňanie Troch kráľov. Svätý Damián - rub | Visitation, Adoration of the Magi, Saint Damian (Back) (Preklad názvu)";"SNG";"SVK:SNG.O_1519";"POZN: viď kartu O 1520. Úhrnná cena, ";"787";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"tempera";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, maľba tabuľová";;"neznačené";"náboženský motív"
"Majsch, Eduard";"1903";"20. storočie, začiatok, 1903";"21.4.1959";;;;"O 1523";"1.1.1982";"35. NK";"Beňová, Katarína";"kartón";"výška 67.0 cm; šírka 49.0 cm";"21.4.1959";"Skalnaté úbočie v horskej krajine";"Skalnaté úbočie v horskej krajine | Rocky Hillside in a Mountain Landscape (Preklad názvu)";"SNG";"SVK:SNG.O_1523";"POZN: 
Reštaurované: A.Kubová, 2000

Lit.: Kat. Majschovci, GMB 2001, kat. č. 5.95, s. 87";"1517";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vľavo dole: Majsch Eduard 1903";"krajina"
"Carracci, Annibale - napodobňovateľ";"1580 - 1590";"16. storočie, 2. polovica, 1580-1590";"21.4.1959";;;;"O 1526";"1.1.1982";"35. NK";"Ludiková, Zuzana";"plátno";"výška 43.0 cm; šírka 34.0 cm";"21.4.1959";"Štúdia hlavy muža";"Štúdia hlavy muža | Head Study of a Man (Preklad názvu)";"SNG";"SVK:SNG.O_1526";"POZN: ";"1523";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"štúdia";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";"20.8.2007";"neznačené";"portrét"
"Španielsky maliar zo 17. - 18. storočia";"1690 - 1710";"17.-18. storočie, prelom, 1690-1710";"21.4.1959";;;;"O 1527";"1.1.1983";"35. NK";"Ludiková, Zuzana";"plátno";"výška 84.5 cm; šírka 63.5 cm";"21.4.1959";"Alegória Vzkriesenia";"Alegória Vzkriesenia | Allegory of Resurrection (Preklad názvu)";"SNG";"SVK:SNG.O_1527";"POZN: rešt. Alena Kubová, 2000 (RP 422)";"1524";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"neznačené";"náboženský motív"
"Majsch, Eduard";"1882";"19. storočie, 2. polovica, 1882";"17.9.1958";;;;"O 1529";"1.1.1982";"33. NK";"Beňová, Katarína";"plátno";"výška 76.0 cm; šírka 50.0 cm";"17.9.1958";"Na priedomí (Pes a mačka)";"Na priedomí (Pes a mačka) | Pes a mačka; On the Porch (Dog and Cat) (Preklad názvu)";"SNG";"SVK:SNG.O_1529";"POZN: 
Lit.: Saučin 1971, s. 34; Saučin 1974, s. 25; Kat. Majschovci,GMB 2001, kat. č. 5.21, s. 77";"1529a";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: Eduard Majsch 1882";"dedinský motív"
"Majsch, Eduard";"1902";"20. storočie, začiatok, 1902";"17.9.1958";;;;"O 1530";"1.1.1982";"33. NK";"Beňová, Katarína";"plátno";"výška 66.5 cm; šírka 49.8 cm";"17.9.1958";"Zametanie dvora";"Zametanie dvora | Sweeping the Courtyard (Preklad názvu)";"SNG";"SVK:SNG.O_1530";"POZN: 

Reštaurované: B.HOffstädter, 2000

Lit.: Saučin 1974, s. 25; Kat. Majschovci, GMB 2001, kat. č. 5.89, s. 86";"1529/b";"kúpa";"10, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: Majsch Ede 1902";"dedinský motív"
"Katona, Ferdinand";"1901 - 1911";"20. storočie, začiatok, 1911 pred";"21.4.1959";;;;"O 1533";"1.1.1982";"34. NK";"Beňová, Katarína";"plátno; lepenka";"výška 33.2 cm; šírka 41.3 cm";"21.4.1959";"Tatranský motív";"Tatranský motív | Tatra Motif (Preklad názvu)";"SNG";"SVK:SNG.O_1533";"POZN: ";"1537";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: Katona Nándor";"krajina"
"Věšín, Jaroslav";"1890 - 1900";"19. storočie, koniec, 1890-1900";"21.4.1959";;;;"O 1541";"1.1.1982";"35. NK";"Beňová, Katarína";"plátno";"výška 42.6 cm; šírka 62.6 cm";"21.4.1959";"Nemý svedok lásky";"Nemý svedok lásky | Silent Witness of Love (Preklad názvu)";"SNG";"SVK:SNG.O_1541";"POZN: ";"1546";"kúpa";"10, digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vpravo dole: Jaroslav Věšín z Vraného v Mních.";"krajina s dedinským motívom"
"Bohúň, Peter Michal";"1859";"19. storočie, 2. polovica, 1859";"21.4.1959";;;;"O 1553";"1.1.1982";"35. NK";"Beňová, Katarína";"plátno";"výška 93.3 cm; šírka 76.0 cm";"21.4.1959";"Podobizeň Johany Zmeškalovej rod. Hámos";"Podobizeň Johany Zmeškalovej rod. Hámos | Portrait of Johana Zmeškalová (neé Hámos) (Preklad názvu)";"SNG";"SVK:SNG.O_1553";"POZN: ";"1565";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, obraz závesný";;"vľavo na stole: l8 P.Bohúň 59";"portrét"
"Lehotský, Karol Miloslav";"1900 - 1910";"20. storočie, začiatok, 1900-1910";;;;;"O 157";"1.1.1981";;"Beňová, Katarína";"plátno; lepenka";"výška 31.5 cm; šírka 31.2 cm";"28.3.1950";"Krajina na jeseň";"Krajina na jeseň | Autumn Landscape (Preklad názvu)";"SNG";"SVK:SNG.O_157";"POZN: ";"10";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"olej";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo";;"vpravo dole: K.Lehotský";"krajina"
"Neznámy maliar";"1450 - 1470";"15. storočie, 2. polovica, 1450-1470";;"Oltár Panny Márie z Partizánskej (Nemeckej) Ľupče";;4;"O 1587";;;"Buran, Dušan";"drevo";"výška: 101.0 cm; šírka: 107.0 cm";;"Svätá Kordula a svätá Uršuľa, Zmŕtvychvstanie";"Svätá Kordula a svätá Uršuľa, Zmŕtvychvstanie | Saint Cordula and Saint Ursula, Resurrection (Preklad názvu)";"SNG";"SVK:SNG.O_1587";"POZN:
Celok oltára bol v SNG rekonštruovaný, 1994 boli do NG Praha však vrátené diela O 317, O 318 a O 319. Časť strednej archy (O 1589) a jedno krídlo (O1587 a O 1588) ostali v SNG.
LIT:
Glatz 1983, 68-75.";;;"";"Dielo katalogizované";"originál";;;"DEF";"tempera; zlátenie";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, maľba tabuľová";"2.2.2012";"neznačené
";"náboženský motív"
"Neznámy maliar";"1450 - 1470";"15. storočie, 2. polovica, 1460 okolo";;"horná časť oltár.krídla s dvoma obojstr.maľovanými tab.oltára Bolestnej P.Márie z Partizán.Ľupče";;;"O 1588";;;"Buran, Dušan";"drevo";"výška 102.0 cm; šírka 106.0 cm";"1.1.1957";"Svätá Barbora,Sv.Katarína,Kristus na hore Olivovej,Boh Otec,Posledný súd,Svätý";"Svätá Barbora,Sv.Katarína,Kristus na hore Olivovej,Boh Otec,Posledný súd,Svätý | Saint Barbara, Saint Catherine, Christ on the Mount of Olives, God the Father, the Last Judgement, Saint (Preklad názvu)";"SNG";"SVK:SNG.O_1588";"POZN: Michal-rub. Prevod od P. Kerna, ako majetok SNM,

LIT:
Glatz 1983, 68-75.";"1606";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"tempera";"Permanentná";"Slovenská národná galéria, SNG";"maliarstvo, maľba tabuľová";;"neznačené";"náboženský motív"
